mirID 	youngRep1_AS_ZT0	youngRep1_AS_ZT4	youngRep1_AS_ZT8	youngRep1_AS_ZT12	youngRep1_AS_ZT16	youngRep1_AS_ZT20	youngRep2_AS_ZT0	youngRep2_AS_ZT4	youngRep2_AS_ZT8	youngRep2_AS_ZT12	youngRep2_AS_ZT16	youngRep2_AS_ZT20	oldRep1_AS_ZT0	oldRep1_AS_ZT4	oldRep1_AS_ZT8	oldRep1_AS_ZT12	oldRep1_AS_ZT16	oldRep1_AS_ZT20	oldRep2_AS_ZT0	oldRep2_AS_ZT4	oldRep2_AS_ZT8	oldRep2_AS_ZT12	oldRep2_AS_ZT16	oldRep2_AS_ZT20
dme-miR-4948-5p_MIMAT0020158 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-4948-3p_MIMAT0020159 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-4949-5p_MIMAT0020160 	0.333333333333 	3.25 	0.75 	1.25 	8.66666666667 	3.25 	2.08333333333 	4.25 	2.35 	2.75 	2.78333333333 	5.25 	3.25 	1.75 	2.0 	5.0 	3.5 	1.1 	1.58333333333 	0.333333333333 	5.0 	4.0 	0.266666666667 	2.0 
dme-miR-4949-3p_MIMAT0020161 	3.0 	1.0 	1.0 	1.0 	1.0 	1.0 	2.0 	3.0 	1.0 	3.0 	0.0 	1.0 	0.0 	1.0 	1.0 	2.0 	3.0 	2.0 	0.0 	0.0 	2.0 	1.5 	3.0 	1.0 
dme-miR-1014-3p_MIMAT0005027 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-1014-5p_MIMAT0020907 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.0 	1.0 	0.0 	0.0 
dme-miR-9385-5p_MIMAT0035233 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-9385-3p_MIMAT0035234 	0.0 	0.0 	0.0 	0.0 	1.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-954-5p_MIMAT0005465 	26.0 	35.0 	40.5 	45.0 	63.0 	35.0 	39.0 	41.0 	54.0 	43.0 	74.0 	35.0 	18.0 	27.0 	15.0 	16.0 	31.0 	25.0 	23.0 	22.3333333333 	21.0 	23.0 	12.0 	15.0 
dme-miR-954-3p_MIMAT0020846 	15.0 	16.0 	21.0 	20.0 	26.0 	22.0 	32.0 	30.0 	25.0 	33.0 	18.0 	26.0 	12.0 	10.0 	11.0 	26.0 	36.0 	19.0 	13.0 	16.0 	11.0 	15.0 	6.0 	13.0 
dme-miR-4915-5p_MIMAT0020508 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-980-3p_MIMAT0005496 	136.0 	529.0 	691.0 	941.0 	753.0 	715.0 	824.0 	773.0 	920.0 	774.0 	673.0 	810.0 	981.0 	944.0 	814.0 	1210.0 	1112.0 	908.0 	1157.0 	1250.0 	1021.0 	1041.0 	848.0 	936.0 
dme-miR-980-5p_MIMAT0020877 	336.5 	547.5 	492.0 	408.5 	632.0 	504.5 	352.333333333 	534.5 	574.0 	486.5 	386.5 	499.0 	355.0 	337.5 	258.5 	387.0 	373.5 	343.5 	281.5 	308.5 	260.0 	356.0 	233.0 	319.0 
dme-miR-4960-3p_MIMAT0020180 	37.0 	54.0 	69.0 	56.0 	61.0 	51.0 	48.0 	63.0 	61.0 	52.0 	41.0 	56.0 	44.0 	51.0 	30.0 	42.0 	46.0 	34.0 	29.0 	23.0 	33.0 	46.0 	32.0 	17.0 
dme-miR-9372-5p_MIMAT0035207 	1.0 	0.0 	3.0 	3.0 	5.0 	4.0 	1.0 	1.0 	10.0 	3.0 	1.0 	2.0 	4.0 	5.0 	3.0 	3.0 	1.0 	2.0 	12.0 	2.0 	5.0 	9.0 	1.0 	2.0 
dme-miR-9372-3p_MIMAT0035208 	5.0 	2.0 	2.0 	3.0 	12.0 	9.0 	2.0 	16.0 	4.0 	8.0 	5.0 	4.0 	3.0 	7.0 	3.0 	5.0 	4.0 	2.0 	3.0 	9.0 	4.0 	5.0 	2.0 	4.0 
dme-miR-4961-5p_MIMAT0020181 	6.5 	27.5833333333 	17.5 	13.5 	24.1944444444 	19.0 	16.5 	24.0833333333 	21.0333333333 	20.75 	10.4166666667 	33.5 	17.0 	12.8333333333 	12.75 	12.5833333333 	18.75 	16.5833333333 	19.5 	18.2 	12.0 	16.5 	15.5 	11.25 
dme-miR-4961-3p_MIMAT0020182 	6.0 	31.0 	21.0 	21.0 	25.0 	26.0 	21.0 	26.0 	31.0 	23.0 	22.0 	29.0 	17.0 	20.0 	8.0 	9.0 	21.0 	12.0 	1.0 	21.5 	11.0 	14.0 	25.0 	8.0 
dme-miR-981-3p_MIMAT0005497 	75158.3787879 	87235.6111111 	101433.222222 	114058.555556 	137957.111111 	126828.222222 	127296.444444 	136402.045455 	144308.166667 	119971.222222 	77957.5 	111329.333333 	133054.767677 	96160.6666667 	90534.6545894 	132506.0 	112978.444444 	86314.2777778 	117635.434343 	105556.444444 	118810.611111 	109147.766798 	76896.7222222 	93370.8333333 
