mirID	logFC	unshrunk.logFC	logCPM	PValue
dme-miR-4983-5p_MIMAT0020217 	49.2248479251461	49.6690433759164	-3.03901704302335	4.49878633253584e-34
dme-miR-4983-3p_MIMAT0020218 	51.4536799232356	52.4925369386015	-3.32545956983063	2.01067192259023e-36
dme-miR-6-3p_MIMAT0000111 	36.3263179182971	36.3310872507223	1.84529375812351	8.68683540464418e-36
dme-miR-6-3-5p_MIMAT0020789 	53.6231658939097	144269531.029926	-3.45991242221952	8.27868693198412e-25
dme-miR-6-3p_MIMAT0000111_1 	36.3265790077086	36.3313470569797	1.84464812218905	8.26058273723937e-36
dme-miR-6-2-5p_MIMAT0020788 	49.0406513736783	49.4455094157826	-3.01929502873649	1.55155567682078e-32
dme-miR-6-3p_MIMAT0000111_2 	36.3218754741644	36.326636152413	1.84709887758044	8.19212343197595e-36
dme-miR-6-1-5p_MIMAT0020787 	48.2508708213652	48.5544352739978	-2.87541581364719	1.32670389763346e-32
dme-miR-5-5p_MIMAT0000110 	32.7762319392637	32.7776221886299	3.59540514781675	7.94570604941947e-38
dme-miR-5-3p_MIMAT0020786 	47.9028108791384	48.1729645671614	-2.79280692999553	5.97672019739959e-32
dme-miR-4-3p_MIMAT0000109 	41.7430979525903	41.7737049247379	-0.723132642047578	6.4074656748541e-30
dme-miR-4-5p_MIMAT0020785 	44.1925047894271	44.2647320794312	-1.71272561478102	1.69905093777572e-31
dme-miR-286-3p_MIMAT0000359 	28.647569853743	28.6479025530146	5.65638278853348	8.47043009321864e-24
dme-miR-286-5p_MIMAT0020820 	46.8796569661894	47.0708458374102	-2.54311429715111	5.87422060306528e-30
dme-miR-3-3p_MIMAT0000108 	38.7946761675319	38.8056131982875	0.623756784801746	7.17223817534513e-39
dme-miR-3-5p_MIMAT0020784 	54.9038781827184	288539008.177793	-3.52037075777795	1
dme-miR-309-3p_MIMAT0000401 	54.2024410735238	144269532.212162	-3.49129055847204	1.15453750186131e-26
dme-miR-309-5p_MIMAT0020835 	48.1080016857008	48.3968351796343	-2.84227667375147	4.91059241109769e-33
dme-miR-310-3p_MIMAT0000402 	40.8725729596768	40.8976351479492	-0.205803444750438	3.93233885286633e-31
dme-miR-310-5p_MIMAT0020836 	53.6204042068112	144269531.027117	-3.45950764917797	2.26585704991287e-25
dme-miR-311-3p_MIMAT0000403 	33.2197726507513	33.2214593568723	3.43466956511782	1.2731328655988e-23
dme-miR-311-5p_MIMAT0020837 	44.5160701756032	44.6057043731125	-1.72284253952306	2.30470218659819e-29
dme-miR-312-3p_MIMAT0000404 	29.5227196971378	29.523168665453	5.21357295617154	9.08161993437304e-25
